Month,Day,Hour,Concentration,AQI,Date,Count
3,26,18,137.55729166666666,210.02777777777777,2019-03-26 18:00:00,36
3,26,19,143.1140625,216.175,2019-03-26 19:00:00,40
3,26,20,145.18229166666666,217.19444444444446,2019-03-26 20:00:00,36
3,26,21,166.0296052631579,229.5,2019-03-26 21:00:00,38
3,26,22,115.30592105263158,185.52631578947367,2019-03-26 22:00:00,38
3,26,23,107.66840277777777,180.69444444444446,2019-03-26 23:00:00,36
3,27,0,113.71052631578948,185.73684210526315,2019-03-27 00:00:00,38
3,27,1,119.77467105263158,191.3684210526316,2019-03-27 01:00:00,38
3,27,2,147.3277027027027,211.54054054054055,2019-03-27 02:00:00,37
3,27,3,145.05098684210526,208.8684210526316,2019-03-27 03:00:00,38
3,27,4,169.28378378378378,232.35135135135135,2019-03-27 04:00:00,37
3,27,5,175.92105263157896,238.92105263157896,2019-03-27 05:00:00,38
3,27,6,151.09868421052633,214.39473684210526,2019-03-27 06:00:00,38
3,27,7,142.70486111111111,209.27777777777777,2019-03-27 07:00:00,36
3,27,8,142.33814102564102,209.87179487179486,2019-03-27 08:00:00,39
3,27,9,134.47804054054055,204.21621621621622,2019-03-27 09:00:00,37
3,27,10,138.8125,207.97368421052633,2019-03-27 10:00:00,38
3,27,11,136.91940789473685,206.73684210526315,2019-03-27 11:00:00,38
3,27,12,175.14473684210526,239.8684210526316,2019-03-27 12:00:00,38
3,27,13,153.75493421052633,222.92105263157896,2019-03-27 13:00:00,38
3,27,14,157.39930555555554,225.19444444444446,2019-03-27 14:00:00,36
3,27,15,159.34935897435898,223.30769230769232,2019-03-27 15:00:00,39
3,27,16,158.27604166666666,224.94444444444446,2019-03-27 16:00:00,36
3,27,17,199.8984375,261.95,2019-03-27 17:00:00,40
3,27,18,205.61284722222223,263.47222222222223,2019-03-27 18:00:00,36
3,27,19,209.8190789473684,263.2894736842105,2019-03-27 19:00:00,38
3,27,20,206.6283783783784,260.6216216216216,2019-03-27 20:00:00,37
3,27,21,175.57432432432432,235.72972972972974,2019-03-27 21:00:00,37
3,27,22,169.0246710526316,231.52631578947367,2019-03-27 22:00:00,38
3,27,23,168.1578947368421,233.3421052631579,2019-03-27 23:00:00,38
3,28,0,155.515625,220.97222222222223,2019-03-28 00:00:00,36
3,28,1,179.9890625,241.4,2019-03-28 01:00:00,40
3,28,2,183.53819444444446,243.55555555555554,2019-03-28 02:00:00,36
3,28,3,200.20065789473685,257.13157894736844,2019-03-28 03:00:00,38
3,28,4,236.52138157894737,282.55263157894734,2019-03-28 04:00:00,38
3,28,5,179.40033783783784,239.43243243243242,2019-03-28 05:00:00,37
3,28,6,116.03205128205128,187.94871794871796,2019-03-28 06:00:00,39
3,28,7,103.91493055555556,178.94444444444446,2019-03-28 07:00:00,36
3,28,8,92.9609375,170.425,2019-03-28 08:00:00,40
3,28,9,85.59722222222223,162.38888888888889,2019-03-28 09:00:00,36
3,28,10,87.56414473684211,165.07894736842104,2019-03-28 10:00:00,38
3,28,11,88.41611842105263,165.60526315789474,2019-03-28 11:00:00,38
3,28,12,94.66722972972973,172.54054054054055,2019-03-28 12:00:00,37
3,28,13,142.63486842105263,214.02631578947367,2019-03-28 13:00:00,38
3,28,14,124.125,194.3783783783784,2019-03-28 14:00:00,37
3,28,15,101.36378205128206,176.17948717948718,2019-03-28 15:00:00,39
3,28,16,129.4358108108108,199.6216216216216,2019-03-28 16:00:00,37
3,28,17,127.43576388888889,196.11111111111111,2019-03-28 17:00:00,36
3,28,18,138.5640625,204.8,2019-03-28 18:00:00,40
3,28,19,148.01071428571427,212.88571428571427,2019-03-28 19:00:00,35
3,28,20,166.1778846153846,227.28205128205127,2019-03-28 20:00:00,39
3,28,21,162.10472972972974,224.72972972972974,2019-03-28 21:00:00,37
3,28,22,148.84375,213.97368421052633,2019-03-28 22:00:00,38
3,28,23,204.53618421052633,260.2105263157895,2019-03-28 23:00:00,38
3,29,0,153.64236111111111,215.25,2019-03-29 00:00:00,36
3,29,1,139.24198717948718,205.87179487179486,2019-03-29 01:00:00,39
3,29,2,138.25,205.83783783783784,2019-03-29 02:00:00,37
3,29,3,212.16826923076923,262.28205128205127,2019-03-29 03:00:00,39
3,29,4,160.63006756756758,219.35135135135135,2019-03-29 04:00:00,37
3,29,5,126.3108108108108,188.94594594594594,2019-03-29 05:00:00,37
3,29,6,184.02138157894737,235.10526315789474,2019-03-29 06:00:00,38
3,29,7,118.92905405405405,181.35135135135135,2019-03-29 07:00:00,37
3,29,8,100.35810810810811,169.02702702702703,2019-03-29 08:00:00,37
3,29,9,81.8125,155.64102564102564,2019-03-29 09:00:00,39
3,29,10,81.27027027027027,153.2972972972973,2019-03-29 10:00:00,37
3,29,11,86.13621794871794,155.46153846153845,2019-03-29 11:00:00,39
3,29,12,86.61458333333333,156.33333333333334,2019-03-29 12:00:00,36
3,29,13,92.01480263157895,163.0,2019-03-29 13:00:00,38
3,29,14,133.03885135135135,199.0,2019-03-29 14:00:00,37
3,29,15,151.9309210526316,218.60526315789474,2019-03-29 15:00:00,38
3,29,16,158.875,225.71052631578948,2019-03-29 16:00:00,38
3,29,17,132.64864864864865,201.0,2019-03-29 17:00:00,37
3,29,18,129.83277027027026,197.32432432432432,2019-03-29 18:00:00,37
3,29,19,120.68589743589743,192.56410256410257,2019-03-29 19:00:00,39
3,29,20,128.88006756756758,200.27027027027026,2019-03-29 20:00:00,37
3,29,21,135.7596153846154,206.28205128205127,2019-03-29 21:00:00,39
3,29,22,140.12326388888889,207.58333333333334,2019-03-29 22:00:00,36
3,29,23,135.4983108108108,203.05405405405406,2019-03-29 23:00:00,37
3,30,0,161.34375,222.07894736842104,2019-03-30 00:00:00,38
3,30,1,102.21875,175.89473684210526,2019-03-30 01:00:00,38
3,30,2,100.8470394736842,172.78947368421052,2019-03-30 02:00:00,38
3,30,3,95.86486486486487,170.21621621621622,2019-03-30 03:00:00,37
